word,count
punkt,1149
przesyłowy,929
gazowy,890
OSP,774
system,676
paliwo,635
przepustowość,455
sieć,423
fizyczny,321
wyjście,317
wejście,313
ZUP,254
użytkownik,243
operator,235
określony,234
zasada,227
ilości,215
przydział,205
dany,198
gazociąg,193
przypadek,191
ruch,188
informacja,186
eksploatacja,186
nominacja,179
moc,177
gaz,176
Gaz-System,174
instrukcja,173
umowny,169
umowy,168
mowa,163
odbiorca,162
dzień,151
instalacja,146
bilansować,145
usługa,143
wniosek,142
doba,139
ograniczenie,137
zdolności,126
przekazywać,123
warunki,121
przesyłać,118
zakres,116
zgodnie,113
strona,113
przyłączenie,112
połączenie,108
grupa,107
renominacja,105
wartość,100
dobowy,98
zostać,97
OSD,96
termin,95
dotyczyć,93
ilość,92
dystrybucyjny,91
aukcja,89
podmiot,88
IRiESP,87
internetowy,85
udostępniać,85
cel,85
rama,85
zmiana,85
opłata,83
procedura,82
cena,81
godzina,80
podstawa,80
produkt,79
techniczny,77
dana,77
realizacja,77
okres,75
określać,72
międzysystemowy,72
każdy,70
magazynowy,70
pomiarowy,70
zawarcie,69
przekazać,67
ciągły,66
przyłączyć,66
postanowienie,66
dostępny,65
następować,65
miesiąc,65
zatwierdzić,65
praca,64
obszar,64
zbilansować,63
oferta,63
urządzenie,62
sytuacja,61
dostarczać,60
dostawa,60
umowa,58
następujący,58
zawierać,58
przydzielić,57
współpracować,56
przerywany,56
ciśnienie,55
dokument,55
systemowy,55
ziemny,55
bilansowy,54
usługi,53
informować,53
pobór,53
systema,53
wystąpienie,52
godzinowy,51
prognoza,51
alokacja,51
parametr,51
zawarty,50
wnioskodawca,50
rozliczenie,49
rynek,49
zobowiązany,48
osm,48
zapas,47
dotrzymać,47
sprzedawca,47
poszczególny,47
spalanie,47
bezpieczeństwo,45
być,45
ciepło,45
ustawa,45
wynikać,44
dokonywać,44
urbanistyczny,44
pomiędzy,43
maksymalny,43
zapewnienie,43
odebrać,42
URE,41
wirtualny,41
korzystać,41
stosować,40
porozumienie,40
publikować,40
odbiór,40
transakcja,39
energetyczny,39
możliwości,38
czas,38
wprowadzić,38
rozliczeniowy,38
platforma,38
część,37
działanie,37
szczególność,37
wprowadzać,37
awaryjny,37
pomiar,37
stanowić,36
prezes,36
SWI,36
odpowiadać,35
układ,35
związać,35
rzecz,34
tytuł,34
inny,34
maić,34
prawo,34
wymaganie,33
planować,33
niezwłocznie,33
wynik,33
funkcjonowanie,33
elektroniczny,32
rozpoczęcie,32
jakościowy,32
świadczyć,32
obowiązkowy,32
transportowy,32
niezbędny,31
tryb,31
obowiązek,31
otrzymać,31
opublikować,31
dane,31
nastąpić,31
plan,31
ciąg,31
europejski,31
prawny,30
roboczy,30
odpowiednio,30
polecenie,30
giełda,30
wykonywać,30
poprzez,30
miesięczny,30
składać,29
odbierać,29
wielkość,29
minimalny,29
wpływ,28
stacja,28
sprzedaż,28
brak,28
oświadczenie,27
późno,27
załącznik,27
umówić,27
PWP,27
zdolność,27
wskazany,26
dostarczyć,26
przesłaniać,26
przyjmować,26
trwanie,26
sam,26
prowadzenie,26
współpraca,26
uzyskać,26
wysokometanowy,26
różnica,25
chwila,25
osoba,25
przedsiębiorstwo,25
państwo,25
udostępnienie,25
odpowiedni,24
składany,24
magazynować,24
prawa,24
przepis,24
powiązać,24
powodować,24
lokalizacja,24
złożenie,24
rozporządzenie,24
zlokalizować,23
trakt,23
din,23
roczny,23
przysługiwać,22
pobierać,22
złożony,22
świadczenie,22
zgodność,22
uczestnik,22
kwh,22
opracował,22
zagrożenie,22
taki,22
objętość,21
zakłócenia,21
sprawa,21
istnieć,21
odsprzedaż,21
jakość,21
wraz,21
wymian,21
data,21
źródło,20
jeden,20
wzór,20
temperatura,20
ustalić,20
miejsce,20
wstrzymanie,20
dodatkowy,20
działalność,20
uruchomić,20
całkowity,20
rozwój,20
gazomierz,20
wysoki,20
finansowy,20
przyjęty,20
obrót,20
formia,20
ochrona,19
służba,19
pobrać,19
spełniać,19
wprowadzenie,19
artykuł,19
zarządzanie,19
polski,19
bezpośrednio,19
odniesienie,19
przewidywać,18
wyznaczyć,18
uwzględnienie,18
zatwierdzenie,18
wymagać,18
obowiązywać,18
ubiegać,18
odrzucenie,18
zastrzeżenie,18
opisać,18
postępowanie,18
przeprowadzić,18
proces,17
szacunkowy,17
oferować,17
wymienić,17
regazyfikacja,17
rewersowy,17
wyłączenie,17
dokonać,17
zapotrzebowanie,17
woda,17
polegać,17
handlowy,17
pierwsza,17
aukcyjny,17
rozliczać,16
limit,16
właściwy,16
zakończenie,16
zainstalować,16
dotychczasowy,16
kolejny,16
określenie,16
złożyć,16
pozycja,16
utworzyć,16
uzgadniać,16
przeprowadzać,16
zastosowanie,16
zrealizować,16
telemetryczny,16
wykorzystywać,15
ustalać,15
realizować,15
wykorzystanie,15
rosa,15
dystrybucja,15
redukcja,15
zgoda,15
rozpatrywać,15
podpisać,15
technologiczny,15
neutralność,15
rozpatrzenie,15
czternaście,15
kraj,15
wyznaczać,15
zapewniać,15
zmienić,15
zgłosić,15
droga,14
rezygnacja,14
powinny,14
poprzedni,14
kwietni,14
końcowy,14
zasilanie,14
przypisać,14
śróddzienny,14
minister,14
zgłaszać,14
przyczyna,14
energia,14
objąć,14
przesył,14
dokonanie,14
pakiet,14
mieć,14
dostosować,14
skład,14
stan,14
nowy,13
decyzja,13
mechanizm,13
który,13
zwać,13
rozwiązanie,13
usta,13
zapewnić,13
telemetria,13
kwartalny,13
strumień,13
sprawdzić,13
dostęp,13
utrzymywać,13
pierwsze,13
dopuszczalny,13
móc,13
dwa,13
aktualizacja,13
sposób,13
eksploatować,13
zawartość,13
kolejność,13
jednostka,13
jedno,13
przekroczenie,13
konieczność,13
przyjęcie,13
unia,13
gospodarczy,13
zero,12
jaki,12
referencyjny,12
poniższy,12
przyłączać,12
dostawca,12
poinformować,12
raport,12
szczegółowy,12
wykup,12
handel,12
przedstawić,12
zleceniodawca,12
łączyć,12
poprzedzać,12
suma,12
uwzględniać,12
właściciel,12
ogólny,12
niski,12
przekraczać,12
remont,12
krajowy,12
spowodować,12
krańcowy,12
umożliwiać,11
wystąpić,11
zmniejszenie,11
zdarzenie,11
jaka,11
status,11
swój,11
występować,11
prowadzony,11
uzyskiwać,11
kupno,11
składanie,11
mieszalnia,11
oparcie,11
warunkowo,11
życie,11
sprawdzać,11
nowe,11
projekt,11
zintegrować,11
październik,11
najmniej,11
należeć,11
pięć,11
wzajemny,11
uprawniony,11
przyłączanie,11
następny,11
uzupełnienie,11
obliczenie,11
analiza,11
posiadający,11
sporządzać,11
odazotownia,11
taryfa,10
uzgodnić,10
pisemny,10
warunek,10
kontrola,10
długi,10
zakup,10
stosunek,10
rozumienie,10
wyliczyć,10
standardowy,10
wyłącznie,10
wnioskować,10
upoważnić,10
podawać,10
odrębnie,10
zachowanie,10
lipiec,10
bezwzględny,10
przydzielać,10
obowiązujący,10
zarezerwować,10
prace,10
gospodarka,10
codziennie,10
obiekt,10
wynosić,10
wszelki,10
obejmować,10
zabezpieczenie,10
umożliwić,10
udział,10
podejmować,10
związek,10
rad,10
potwierdzenie,10
udostępnić,10
środki,10
ekonomiczny,9
trzy,9
niezwłoczny,9
format,9
uszkodzenie,9
uwaga,9
stopień,9
potrzeba,9
znajdować,9
siedem,9
własność,9
przekroczyć,9
nowa,9
awaria,9
liczba,9
średni,9
nabyć,9
proporcjonalnie,9
język,9
wyrazić,9
doręczyć,9
doza,9
podlegać,9
rok,9
możliwość,9
podział,9
faktura,9
wielki,9
regulamin,9
marzec,9
planowanie,9
kodeks,9
średnia,9
powód,8
wskazywać,8
wpłynąć,8
równać,8
modernizacja,8
mod,8
wyróżniać,8
dotyczeć,8
członkowski,8
podjąć,8
treści,8
członek,8
norma,8
zawrzeć,8
bezpośredni,8
określić,8
marża,8
trzydzieści,8
odrębny,8
pojemność,8
prawidłowy,8
względny,8
przywóz,8
zapasy,8
niejawny,8
uważać,8
powyżej,8
stawka,8
regulacja,8
środowisko,8
nazwa,8
września,8
wzywać,8
ostatni,8
rzeczpospolita,8
weryfikacja,8
rodzaj,8
rzeczywisty,8
powstanie,8
siedziba,8
zgodny,8
sąsiedni,8
przerwa,8
odpowiedzialny,8
cztery,8
dalej,8
poziom,7
przygotowywać,7
wiążący,7
przesłać,7
różny,7
poniżej,7
wydanie,7
aniżeli,7
spełnienie,7
posiadać,7
przyłączeniowy,7
wezwanie,7
przedłożyć,7
przedkładać,7
wykonać,7
sporządzić,7
prowadzić,7
wówczas,7
osiem,7
wersja,7
skutek,7
operatywny,7
operatorski,7
